Conf|	Rayon Giration	|	Distance		|		RMSD		|	Ratio Giration	|	Correlation	(p-value)
REF	|	17.44799		|			0
200	|	17.7031		|	11.70416	(+/-3.17123)	|	1.17364	(+/-0.84442)	|	1.01462		|	0.44478	(1e-05)
201	|	17.83154		|	11.66356	(+/-3.20053)	|	1.26076	(+/-0.8032)	|	1.02198		|	0.44315	(1e-05)
202	|	18.03062		|	11.6816	(+/-3.15828)	|	1.19103	(+/-0.7943)	|	1.03339		|	0.47345	(0.0)
203	|	18.20752		|	11.77706	(+/-3.14365)	|	1.2207	(+/-0.80487)	|	1.04353		|	0.37516	(0.00029)
204	|	17.73409		|	11.73211	(+/-3.22223)	|	1.31522	(+/-0.89515)	|	1.0164		|	0.40697	(8e-05)
205	|	17.59363		|	11.74946	(+/-3.12846)	|	1.25061	(+/-0.84665)	|	1.00835		|	0.42751	(3e-05)
206	|	18.11285		|	11.77569	(+/-3.14019)	|	1.2311	(+/-0.83046)	|	1.03811		|	0.41649	(5e-05)
207	|	18.24988		|	11.80341	(+/-3.21554)	|	1.38157	(+/-0.86218)	|	1.04596		|	0.52092	(0.0)
208	|	17.90316		|	11.68456	(+/-3.15989)	|	1.44687	(+/-0.9692)	|	1.02609		|	0.56768	(0.0)
209	|	18.24649		|	11.75495	(+/-3.18241)	|	1.35841	(+/-0.90419)	|	1.04576		|	0.43791	(2e-05)
210	|	18.11125		|	11.69163	(+/-3.18672)	|	1.38484	(+/-0.89867)	|	1.03801		|	0.51643	(0.0)
211	|	17.99072		|	11.64095	(+/-3.19903)	|	1.24512	(+/-0.86678)	|	1.03111		|	0.46566	(0.0)
212	|	17.80678		|	11.68008	(+/-3.24129)	|	1.31797	(+/-0.86218)	|	1.02056		|	0.46049	(1e-05)
